SKU,Title,Category,Reason
"PK-MOB-007","Samsung Galaxy A15 6GB 128GB Blue Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-008","Samsung Galaxy A05s 4GB 64GB Light Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-009","Apple iPhone 15 Pro Max 256GB Natural Titanium","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-010","Apple iPhone 15 Pro 128GB Blue Titanium","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-011","Apple iPhone 15 128GB Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-012","Apple iPhone 13 128GB Midnight","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-013","Xiaomi 14 Ultra 16GB 512GB Leica Edition Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-014","Xiaomi 14 12GB 512GB Jade Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-015","Xiaomi 13T 12GB 256GB Alpine Blue","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-016","Xiaomi Redmi Note 13 Pro Plus 5G 12GB 512GB Midnight Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-017","Xiaomi Redmi Note 13 Pro 8GB 256GB Forest Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-018","Xiaomi Redmi Note 13 8GB 256GB Mint Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-019","Xiaomi Redmi 13 8GB 128GB Ocean Blue","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-020","Xiaomi Redmi 13C 6GB 128GB Clover Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-021","Infinix Note 40 Pro 8GB 256GB Vintage Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-022","Infinix Note 40 8GB 256GB Titan Gold","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-023","Infinix Hot 40 Pro 8GB 256GB Horizon Gold","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-024","Infinix Hot 40i 8GB 128GB Starlit Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-025","Infinix Smart 8 Pro 4GB 64GB Shiny Gold","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-026","Infinix Smart 8 4GB 64GB Timber Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-027","Tecno Camon 30 Pro 5G 12GB 512GB Alps Snowy Silver","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-028","Tecno Camon 30 8GB 256GB Iceland Basaltic Dark","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
